instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,target_side,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,1.5603,p,0,2.4928,1,0.318397047,#a3d0fb,,right_blue.png,o,0,0,0,1,1,o,right_blue.png,right_orange.png,p,right,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.4003,0,0.905103278,#f3af84,,right_orange.png,p,0,1,1,1,1,o,right_blue.png,right_orange.png,p,right,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,2.5173,1,0.708523991,#a3d0fb,,left_blue.png,w,0,2,2,2,1,w,left_blue.png,left_orange.png,q,left,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.7006,1,0.35270662,#f3af84,,right_orange.png,p,0,3,3,0,1,o,right_blue.png,right_orange.png,p,left,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,1.2967,1,0.398411989,#a3d0fb,,left_blue.png,w,1,0,4,3,1,w,left_blue.png,left_orange.png,q,right,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,2.5409,1,0.1656189,#f3af84,,right_orange.png,p,1,1,5,0,1,o,right_blue.png,right_orange.png,p,left,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.8127,0,0.133839032,#a3d0fb,,left_blue.png,w,1,2,6,2,1,w,left_blue.png,left_orange.png,q,left,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.8674,0,0.747953068,#f3af84,,left_orange.png,q,1,3,7,3,1,w,left_blue.png,left_orange.png,q,right,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,2.9506,0,0.560427406,#a3d0fb,,left_blue.png,w,2,0,8,3,1,w,left_blue.png,left_orange.png,q,right,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.6361,0,0.820441933,#f3af84,,left_orange.png,q,2,1,9,2,1,w,left_blue.png,left_orange.png,q,left,60c9eb53daf4abb8c8b2f937,001,2021-07-19_05h56.19.847,arrow_simon_norep,2021.1.2,Win32,60.20469597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
