instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,target_side,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,42.7123,w,0,1.4072,1,0.567508224,#a3d0fb,,right_blue.png,o,0,0,0,0,1,o,right_blue.png,right_orange.png,p,left,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.101,0,0.573634089,#f3af84,,left_orange.png,q,0,1,1,2,1,w,left_blue.png,left_orange.png,q,left,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,1.0241,1,0.06929619,#a3d0fb,,left_blue.png,w,0,2,2,3,1,w,left_blue.png,left_orange.png,q,right,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,0.9624,0,0.137991759,#f3af84,,left_orange.png,q,0,3,3,3,1,w,left_blue.png,left_orange.png,q,right,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.86,0,0.544588746,#a3d0fb,,right_blue.png,o,1,0,4,1,1,o,right_blue.png,right_orange.png,p,right,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,1.8328,1,0.326249714,#f3af84,,right_orange.png,p,1,1,5,0,1,o,right_blue.png,right_orange.png,p,left,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,4.3425,0,0.709816825,#a3d0fb,,right_blue.png,o,1,2,6,1,1,o,right_blue.png,right_orange.png,p,right,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.5892,1,0.162430213,#f3af84,,left_orange.png,q,1,3,7,2,1,w,left_blue.png,left_orange.png,q,left,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,3.0917,0,0.465470375,#a3d0fb,,right_blue.png,o,2,0,8,1,1,o,right_blue.png,right_orange.png,p,right,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.2981,0,0.283809592,#f3af84,,right_orange.png,p,2,1,9,0,1,o,right_blue.png,right_orange.png,p,left,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.6391,0,0.785831309,#a3d0fb,,left_blue.png,w,2,2,10,3,1,w,left_blue.png,left_orange.png,q,right,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.3809,0,0.638159745,#f3af84,,right_orange.png,p,2,3,11,0,1,o,right_blue.png,right_orange.png,p,left,610061b90293e0558628845b,001,2021-08-01_12h18.18.359,arrow_simon_norep,2021.1.2,Win32,143.6988073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
